,author.properties.friends,author.properties.status_count,author.properties.verified,content.body,location.country,properties.platform,properties.sentiment,location.latitude,location.longitude
0,1689,22566.0,False,Can't believe I'm missing Love Island 😩,GB,twitter,1.0,51.57044795545623,0.4571355
1,114,1377.0,False,Last tweet about future wedding..... if I actually want a wedding I actually need to find a guy XD we all know I'm a loner. unlovable,GB,twitter,1.0,52.969744440802685,-1.1722659999999996
2,568,8375.0,False,"How many times does he wonna say the phrase ""i deal with shit"" #LoveIsland",GB,twitter,-1.0,51.394368557245095,0.0262989999999999
3,1845,19394.0,False,...even better if time travel were invented and I could go there back in 1876 and have a whiskey with Al #Deadwood,GB,twitter,-1.0,51.648544478966905,-3.8042920000000016
4,1617,17922.0,False,@GreenAlty @ShakeyStephens My Mum in mid 80s pushed into road by Black migrants 2 sons with disabilities attacked robbed U THINK WE NEED MOR,GB,twitter,0.0,53.54347057254045,-2.6532380000000004
5,908,97118.0,False,@sarahann_jones @heatherpeace @seachell74 @HP_Community @cocacolagirl35 factor 30 this year lesson learnt tee hee X,GB,twitter,-1.0,50.84034002985045,-0.130356
6,294,29373.0,False,Folk at level 12 running around in Reaper mariachi skins and I'm level 30 with FUCK AW,GB,twitter,1.0,55.46607469435491,-4.624916500000001
7,188,890.0,False,Just want money so I can move away 😩,GB,twitter,-1.0,52.80280339743897,-0.8380554999999998
8,783,32215.0,False,"@Ray1Moses @Cornerstone_HQ Rice flour then. Doesn't have the same effect yelling ""Self-raising"" . People just think you're mad .",GB,twitter,0.0,57.589930014026,-4.531439500000001
9,96,43578.0,False,عجزت عيوني على غيرك تمون، ماعرفت انطق لغيرك بالسلام💕.,GB,twitter,0.0,51.5248433429905,-0.173115
10,55,9553.0,False,Club penguin blocked me for saying 'fucking' and 'bitch' ..Not my fault another fucking penguin wouldn't move off the seat i was sitting on,GB,twitter,-1.0,52.49405270288055,-1.8906405
11,388,44249.0,False,British Museum pays tribute to Zinedine Zidane: Head of a Priest. #sunkencities #egypt @ Sunken… https://t.co/bux1bYdrur,GB,twitter,0.0,51.51788,-0.12723
12,284,3655.0,False,Word 💯💯 https://t.co/GqyTWlR1Pj,GB,twitter,-1.0,51.35895133231162,-0.092633
13,2158,63147.0,False,@ellathomasxo should've accidentally on purpose fell,GB,twitter,-1.0,54.04781511003401,-2.8563455
14,79,15022.0,False,"21:57 BST: Experimental forecast for the next 12 hours: Fairly fine, showery later",GB,twitter,1.0,53.354,-1.998
15,627,6248.0,False,I should really sleep,GB,twitter,-1.0,52.22713108182664,0.511578
16,431,40034.0,False,Lit me and @Orange_Peels https://t.co/blxTupgHFn,GB,twitter,1.0,51.89632636441313,-2.0877745
17,513,17061.0,False,My do my toes never stay in my heels😟🙄,GB,twitter,-1.0,53.67581511056894,-0.5130909999999999
18,77,2861.0,False,@SkyNews he really is a clown. That is perhaps a kind 4 letter word. Clot may me another.,GB,twitter,0.0,51.46034516709653,-0.1154059999999999
19,2503,78437.0,False,"@garyskiphills nope i take your point there, I forgot about Tommy G moving to RB",GB,twitter,-1.0,51.47951871451352,0.1618535
20,773,35159.0,False,Ooh I understand now 😂😂 https://t.co/8HcNvxvqP0,GB,twitter,-1.0,51.451674884083495,-0.1937195
21,4244,46975.0,False,.@AliceStevo John Eastman https://t.co/02VFDiCTTm https://t.co/41RDprngL4,GB,twitter,0.0,51.58792119344532,-0.102162
